Username,Password,FirstName,LastName,Group
test.user1,Archer@123,Test1,User,65
test.user2,Archer@123,Test2,User,65
test.user3,Archer@123,Test3,User,65
test.user4,Archer@123,Test4,User,65
test.user5,Archer@123,Test5,User,99
test.user6,Archer@123,Test6,User,99
test.user7,Archer@123,Test7,User,99
test.user8,Archer@123,Test8,User,99
test.user9,Archer@123,Test9,User,99
test.user10,Archer@123,Test10,User,160
test.user11,Archer@123,Test11,User,160
test.user12,Archer@123,Test12,User,160
test.user13,Archer@123,Test13,User,160
test.user14,Archer@123,Test14,User,188
test.user15,Archer@123,Test15,User,188
test.user16,Archer@123,Test16,User,188
test.user17,Archer@123,Test17,User,187
test.user18,Archer@123,Test18,User,187
test.user19,Archer@123,Test19,User,187
test.user20,Archer@123,Test20,User,187
